LGA code,Local Government Area,persons,km2,persons km2
70200,Alice Springs (T),26534,327.7,81
70420,Barkly (R),7392,322713.2,0
70540,Belyuen (S),174,41.4,4.2
70620,Central Desert (R),4208,281312,0
70700,Coomalie (S),1391,2056.1,0.7
71000,Darwin (C),84613,111.3,760.1
71300,East Arnhem (R),10345,33309.9,0.3
72200,Katherine (T),10621,7416.6,1.4
72300,Litchfield (M),25598,2903.1,8.8
72330,MacDonnell (R),6863,268329.3,0
72800,Palmerston (C),37862,52.7,719
73600,Roper Gulf (R),7397,185210.2,0
74050,Tiwi Islands (R),2753,7483.2,0.4
74550,Victoria Daly (R),3138,153287.1,0
74560,Wagait (S),508,5.6,90.1
74660,West Arnhem (R),6902,49675,0.1
74680,West Daly (R),3649,14069.7,0.3
79399,Unincorporated NT,7379,19790,0.4
10050,Albury (C),53767,305.9,175.7
10130,Armidale Regional (A),30707,8620.7,3.6
10250,Ballina (A),44208,484.9,91.2
10300,Balranald (A),2340,21690.7,0.1
10470,Bathurst Regional (A),43206,3817.9,11.3
10500,Bayside (A),174378,49.9,3495.2
10550,Bega Valley (A),34348,6278.9,5.5
10600,Bellingen (A),12963,1600.4,8.1
10650,Berrigan (A),8707,2065.8,4.2
10750,Blacktown (C),366534,240,1526.9
10800,Bland (A),5985,8557.7,0.7
10850,Blayney (A),7342,1524.6,4.8
10900,Blue Mountains (C),79260,1431.1,55.4
10950,Bogan (A),2621,14599.9,0.2
11150,Bourke (A),2630,41599.5,0.1
11200,Brewarrina (A),1655,19163.5,0.1
11250,Broken Hill (C),17734,170.1,104.2
11300,Burwood (A),39886,7.1,5595.6
11350,Byron (A),34574,565.8,61.1
11400,Cabonne (A),13680,6022.3,2.3
11450,Camden (A),94159,201,468.4
11500,Campbelltown (C) (NSW),168139,311.9,539.1
11520,Canada Bay (A),95159,19.9,4776.3
11570,Canterbury-Bankstown (A),373931,110.2,3392.1
11600,Carrathool (A),2802,18934.5,0.1
11650,Central Coast (C) (NSW),342047,1681.1,203.5
11700,Central Darling (A),1837,53492.2,0
11720,Cessnock (C),59101,1965.2,30.1
11730,Clarence Valley (A),51647,10428.7,5
11750,Cobar (A),4722,45579.3,0.1
11800,Coffs Harbour (C),76551,1173.7,65.2
12000,Coolamon (A),4368,2430.9,1.8
12150,Coonamble (A),4014,9916.1,0.4
12160,Cootamundra-Gundagai Regional (A),11260,3981.4,2.8
12350,Cowra (A),12767,2808.8,4.5
12380,Cumberland (A),236893,71.6,3310.8
12390,Dubbo Regional (A),53240,7534.5,7.1
12700,Dungog (A),9346,2250,4.2
12730,Edward River (A),8995,8883.4,1
12750,Eurobodalla (A),38288,3428.2,11.2
12850,Fairfield (C),210612,101.5,2074.9
12870,Federation (A),12462,5685,2.2
12900,Forbes (A),9910,4710.1,2.1
12930,Georges River (A),158411,38.3,4131.1
12950,Gilgandra (A),4226,4831.5,0.9
13010,Glen Innes Severn (A),8908,5480,1.6
13310,Goulburn Mulwaree (A),30852,3220.1,9.6
13340,Greater Hume Shire (A),10686,5749.5,1.9
13450,Griffith (C),26882,1639.2,16.4
13550,Gunnedah (A),12661,4987,2.5
13660,Gwydir (A),5349,9259.7,0.6
13800,Hawkesbury (C),67083,2775.1,24.2
13850,Hay (A),2979,11325.9,0.3
13910,Hilltops (A),18782,7140.9,2.6
14000,Hornsby (A),150752,455,331.3
14100,Hunters Hill (A),14909,5.7,2607.9
14170,Inner West (A),198024,35.4,5598.4
14200,Inverell (A),16844,8597.2,2
14300,Junee (A),6631,2030,3.3
14350,Kempsey (A),29665,3375.7,8.8
14400,Kiama (A),23006,257.7,89.3
14500,Ku-ring-gai (A),126046,85.4,1475.8
14550,Kyogle (A),8870,3584.2,2.5
14600,Lachlan (A),6151,14964.3,0.4
14650,Lake Macquarie (C),204914,648.6,315.9
14700,Lane Cove (A),39486,10.5,3768
14750,Leeton (A),11438,1167.2,9.8
14850,Lismore (C),43843,1287.7,34
14870,Lithgow (C),21636,4512.3,4.8
14900,Liverpool (C),223304,305.7,730.4
14920,Liverpool Plains (A),7893,5082.2,1.6
14950,Lockhart (A),3295,2895.8,1.1
15050,Maitland (C),83203,391.5,212.5
15240,Mid-Coast (A),93288,10053.9,9.3
15270,Mid-Western Regional (A),25086,8752.3,2.9
15300,Moree Plains (A),13350,17906.5,0.7
15350,Mosman (A),30877,8.7,3569.5
15520,Murray River (A),12118,11863.5,1
15560,Murrumbidgee (A),3961,6880.8,0.6
15650,Muswellbrook (A),16383,3404.9,4.8
15700,Nambucca (A),19773,1491.3,13.3
15750,Narrabri (A),13231,13015,1
15800,Narrandera (A),5931,4116.3,1.4
15850,Narromine (A),6567,5261.5,1.2
15900,Newcastle (C),164104,186.8,878.7
15950,North Sydney (A),74172,10.5,7073.6
15990,Northern Beaches (A),271278,254.2,1067.2
16100,Oberon (A),5408,3625,1.5
16150,Orange (C),42056,284.2,148
16200,Parkes (A),14894,5957.6,2.5
16260,Parramatta (C),251311,83.8,2997.9
16350,Penrith (C),209210,404.7,516.9
16380,Port Macquarie-Hastings (A),83131,3682.4,22.6
16400,Port Stephens (A),72695,858.4,84.7
16490,Queanbeyan-Palerang Regional (A),59959,5318.9,11.3
16550,Randwick (C),154265,36.3,4246.1
16610,Richmond Valley (A),23399,3047.4,7.7
16700,Ryde (C),127446,40.5,3148.8
16900,Shellharbour (C),72240,147.4,490
16950,Shoalhaven (C),104371,4566.7,22.9
17000,Singleton (A),23422,4892.7,4.8
17040,Snowy Monaro Regional (A),20733,15163.5,1.4
17080,Snowy Valleys (A),14532,8959,1.6
17100,Strathfield (A),45143,14,3224.3
17150,Sutherland Shire (A),229213,333.6,687.1
17200,Sydney (C),240229,26.7,8982.9
17310,Tamworth Regional (A),62156,9884.4,6.3
17350,Temora (A),6274,2802,2.2
17400,Tenterfield (A),6638,7322.8,0.9
17420,The Hills Shire (A),172473,386.2,446.6
17550,Tweed (A),96108,1307.7,73.5
17620,Upper Hunter Shire (A),14220,8096.1,1.8
17640,Upper Lachlan Shire (A),7961,7127.4,1.1
17650,Uralla (A),6062,3226.5,1.9
17750,Wagga Wagga (C),64820,4824.5,13.4
17850,Walcha (A),3132,6261,0.5
17900,Walgett (A),6051,22308.4,0.3
17950,Warren (A),2745,10753.8,0.3
18020,Warrumbungle Shire (A),9399,12372.1,0.8
18050,Waverley (A),74114,9.4,7926
18100,Weddin (A),3636,3414.9,1.1
18200,Wentworth (A),7042,26256.2,0.3
18250,Willoughby (C),80339,22.4,3582.4
18350,Wingecarribee (A),50493,2689.3,18.8
18400,Wollondilly (A),52230,2555.4,20.4
18450,Wollongong (C),216071,684,315.9
18500,Woollahra (A),58964,12.3,4802.6
18710,Yass Valley (A),16953,3995.3,4.2
19399,Unincorporated NSW,1080,93214.2,0
30250,Aurukun (S),1382,7424,0.2
30300,Balonne (S),4334,31103.7,0.1
30370,Banana (S),14291,28550.2,0.5
30410,Barcaldine (R),2852,53382.7,0.1
30450,Barcoo (S),267,61830.1,0
30760,Blackall-Tambo (R),1863,30537.2,0.1
30900,Boulia (S),425,60905.7,0
31000,Brisbane (C),1231605,1342.7,917.2
31750,Bulloo (S),330,73723.8,0
31820,Bundaberg (R),95302,6431,14.8
31900,Burdekin (S),17077,5043.9,3.4
31950,Burke (S),352,39684.1,0
32080,Cairns (R),165525,1689.3,98
32250,Carpentaria (S),1974,64121,0
32260,Cassowary Coast (R),29689,4687.8,6.3
32270,Central Highlands (R) (Qld),28645,59834.8,0.5
32310,Charters Towers (R),11850,68382.2,0.2
32330,Cherbourg (S),1315,31.6,41.6
32450,Cloncurry (S),3091,47971.3,0.1
32500,Cook (S),4445,105718.8,0
32600,Croydon (S),288,29497.9,0
32750,Diamantina (S),292,94730.5,0
32770,Doomadgee (S),1507,1827.7,0.8
32810,Douglas (S),12257,2427.9,5
33100,Etheridge (S),804,39199.3,0
33200,Flinders (S) (Qld),1499,41199.9,0
33220,Fraser Coast (R),105463,7104.6,14.8
33360,Gladstone (R),62979,10484.3,6
33430,Gold Coast (C),606774,1333.7,455
